IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.110.206,4,4,0.00,207.56,0.00,LAX
104.25.249.170,4,4,0.00,207.57,0.00,LAX
104.16.6.234,4,4,0.00,207.59,0.00,LAX
104.17.109.129,4,4,0.00,207.62,0.00,LAX
104.18.22.164,4,4,0.00,207.76,0.00,LAX
141.101.113.45,4,4,0.00,207.78,0.00,LAX
172.67.219.53,4,4,0.00,207.79,0.00,LAX
104.19.161.189,4,4,0.00,207.82,0.00,LAX
104.17.116.22,4,4,0.00,207.84,0.00,LAX
104.18.228.109,4,4,0.00,207.86,0.00,LAX
104.17.196.167,4,4,0.00,207.86,0.00,LAX
172.67.137.206,4,4,0.00,207.89,0.00,LAX
104.17.92.46,4,4,0.00,207.92,0.00,LAX
104.20.16.167,4,4,0.00,207.97,0.00,LAX
104.24.238.139,4,4,0.00,208.03,0.00,LAX
172.67.69.144,4,4,0.00,208.06,0.00,LAX
172.67.117.249,4,4,0.00,208.06,0.00,LAX
104.18.70.222,4,4,0.00,208.10,0.00,LAX
104.27.83.50,4,4,0.00,208.12,0.00,LAX
104.18.65.89,4,4,0.00,208.13,0.00,LAX
104.25.78.38,4,4,0.00,208.25,0.00,LAX
104.18.177.154,4,4,0.00,208.32,0.00,LAX
104.18.30.219,4,4,0.00,208.32,0.00,LAX
104.16.97.107,4,4,0.00,208.38,0.00,LAX
172.67.239.222,4,4,0.00,208.38,0.00,LAX
104.18.127.74,4,4,0.00,208.39,0.00,LAX
104.24.59.254,4,4,0.00,208.41,0.00,LAX
172.65.234.77,4,4,0.00,208.45,0.00,LAX
104.19.196.233,4,4,0.00,208.45,0.00,LAX
162.159.133.98,4,4,0.00,208.46,0.00,LAX
104.18.47.126,4,4,0.00,208.73,0.00,LAX
104.17.142.78,4,4,0.00,208.74,0.00,LAX
198.41.215.32,4,4,0.00,208.76,0.00,LAX
172.67.64.191,4,4,0.00,208.77,0.00,LAX
104.18.103.21,4,4,0.00,208.83,0.00,LAX
104.17.73.83,4,4,0.00,208.85,0.00,LAX
172.67.124.189,4,4,0.00,208.86,0.00,LAX
104.16.226.115,4,4,0.00,208.87,0.00,LAX
162.159.45.45,4,4,0.00,208.89,0.00,LAX
104.18.141.12,4,4,0.00,208.89,0.00,LAX
162.159.131.1,4,4,0.00,208.91,0.00,LAX
104.19.32.226,4,4,0.00,208.91,0.00,LAX
172.67.233.25,4,4,0.00,208.93,0.00,LAX
104.18.200.154,4,4,0.00,208.98,0.00,LAX
172.67.227.28,4,4,0.00,208.98,0.00,LAX
104.16.120.223,4,4,0.00,209.00,0.00,LAX
104.25.28.192,4,4,0.00,209.01,0.00,LAX
104.19.200.254,4,4,0.00,209.01,0.00,LAX
104.24.149.64,4,4,0.00,209.02,0.00,LAX
104.18.125.216,4,4,0.00,209.04,0.00,LAX
104.16.71.62,4,4,0.00,209.05,0.00,LAX
104.18.13.2,4,4,0.00,209.06,0.00,LAX
104.21.208.213,4,4,0.00,209.08,0.00,LAX
104.27.54.43,4,4,0.00,209.10,0.00,LAX
104.21.53.235,4,4,0.00,209.13,0.00,LAX
104.25.50.64,4,4,0.00,209.16,0.00,LAX
104.19.194.20,4,4,0.00,209.18,0.00,LAX
104.21.121.4,4,4,0.00,209.23,0.00,LAX
104.18.204.200,4,4,0.00,209.24,0.00,LAX
104.21.111.120,4,4,0.00,209.27,0.00,LAX
104.16.19.17,4,4,0.00,209.33,0.00,LAX
104.17.160.201,4,4,0.00,209.33,0.00,LAX
104.21.14.13,4,4,0.00,209.33,0.00,LAX
104.18.7.105,4,4,0.00,209.34,0.00,LAX
104.24.166.116,4,4,0.00,209.35,0.00,LAX
162.159.159.19,4,4,0.00,209.36,0.00,LAX
162.159.255.149,4,4,0.00,209.37,0.00,LAX
104.24.248.71,4,4,0.00,209.38,0.00,LAX
104.17.211.183,4,4,0.00,209.38,0.00,LAX
104.25.129.203,4,4,0.00,209.39,0.00,LAX
172.66.196.13,4,4,0.00,209.39,0.00,LAX
104.19.118.172,4,4,0.00,209.50,0.00,LAX
104.17.227.179,4,4,0.00,209.51,0.00,LAX
104.18.106.125,4,4,0.00,209.51,0.00,LAX
104.16.93.54,4,4,0.00,209.52,0.00,LAX
104.21.41.46,4,4,0.00,209.54,0.00,LAX
172.64.88.135,4,4,0.00,209.56,0.00,LAX
104.19.89.221,4,4,0.00,209.58,0.00,LAX
190.93.246.163,4,4,0.00,209.60,0.00,LAX
104.17.213.70,4,4,0.00,209.61,0.00,LAX
104.21.232.157,4,4,0.00,209.62,0.00,LAX
172.64.159.179,4,4,0.00,209.68,0.00,LAX
104.17.175.102,4,4,0.00,209.69,0.00,LAX
104.25.36.238,4,4,0.00,209.71,0.00,LAX
104.21.70.241,4,4,0.00,209.72,0.00,LAX
104.18.137.220,4,4,0.00,209.73,0.00,LAX
104.24.74.6,4,4,0.00,209.74,0.00,LAX
172.67.169.87,4,4,0.00,209.74,0.00,LAX
104.18.36.181,4,4,0.00,209.82,0.00,LAX
104.16.65.190,4,4,0.00,209.87,0.00,LAX
104.17.76.118,4,4,0.00,209.90,0.00,LAX
104.18.74.213,4,4,0.00,209.93,0.00,LAX
104.19.159.213,4,4,0.00,209.93,0.00,LAX
104.18.221.166,4,4,0.00,209.93,0.00,LAX
104.21.239.44,4,4,0.00,209.94,0.00,LAX
104.18.152.227,4,4,0.00,210.00,0.00,LAX
104.16.206.213,4,4,0.00,210.02,0.00,LAX
104.21.212.66,4,4,0.00,210.06,0.00,LAX
172.64.144.157,4,4,0.00,210.10,0.00,LAX
104.16.153.166,4,4,0.00,210.11,0.00,LAX
104.24.224.75,4,4,0.00,210.13,0.00,LAX
104.27.207.6,4,4,0.00,210.18,0.00,LAX
104.19.60.36,4,4,0.00,210.19,0.00,LAX
104.19.77.175,4,4,0.00,210.19,0.00,LAX
104.27.70.75,4,4,0.00,210.20,0.00,LAX
104.26.4.28,4,4,0.00,210.24,0.00,LAX
104.17.140.76,4,4,0.00,210.26,0.00,LAX
104.18.201.180,4,4,0.00,210.27,0.00,LAX
104.25.82.1,4,4,0.00,210.27,0.00,LAX
104.17.14.222,4,4,0.00,210.28,0.00,LAX
104.21.124.254,4,4,0.00,210.29,0.00,LAX
104.19.187.29,4,4,0.00,210.29,0.00,LAX
172.67.192.146,4,4,0.00,210.30,0.00,LAX
104.16.66.233,4,4,0.00,210.30,0.00,LAX
104.16.59.51,4,4,0.00,210.38,0.00,LAX
104.16.100.2,4,4,0.00,210.40,0.00,LAX
104.16.149.151,4,4,0.00,210.45,0.00,LAX
104.19.113.1,4,4,0.00,210.45,0.00,LAX
172.67.211.3,4,4,0.00,210.49,0.00,LAX
104.16.75.172,4,4,0.00,210.53,0.00,LAX
104.19.157.30,4,4,0.00,210.55,0.00,LAX
172.67.182.244,4,4,0.00,210.56,0.00,LAX
104.19.212.111,4,4,0.00,210.63,0.00,LAX
104.19.248.244,4,4,0.00,210.64,0.00,LAX
104.18.248.168,4,4,0.00,210.65,0.00,LAX
104.25.246.217,4,4,0.00,210.66,0.00,LAX
104.18.61.99,4,4,0.00,210.67,0.00,LAX
104.16.252.227,4,4,0.00,210.67,0.00,LAX
104.16.218.222,4,4,0.00,210.67,0.00,LAX
104.18.90.226,4,4,0.00,210.69,0.00,LAX
104.19.154.89,4,4,0.00,210.69,0.00,LAX
104.20.15.131,4,4,0.00,210.70,0.00,LAX
104.25.153.75,4,4,0.00,210.71,0.00,LAX
104.17.43.42,4,4,0.00,210.72,0.00,LAX
141.101.121.206,4,4,0.00,210.73,0.00,LAX
104.25.208.15,4,4,0.00,210.74,0.00,LAX
104.18.1.210,4,4,0.00,210.75,0.00,LAX
104.18.48.231,4,4,0.00,210.82,0.00,LAX
104.27.25.57,4,4,0.00,210.82,0.00,LAX
172.67.140.45,4,4,0.00,210.84,0.00,LAX
104.20.11.219,4,4,0.00,210.85,0.00,LAX
104.27.29.112,4,4,0.00,210.86,0.00,LAX
172.67.76.89,4,4,0.00,210.86,0.00,LAX
104.16.249.74,4,4,0.00,210.88,0.00,LAX
104.21.217.131,4,4,0.00,210.90,0.00,LAX
104.21.90.190,4,4,0.00,210.93,0.00,LAX
104.18.9.230,4,4,0.00,210.93,0.00,LAX
104.17.34.152,4,4,0.00,210.95,0.00,LAX
104.27.195.108,4,4,0.00,210.95,0.00,LAX
172.67.102.11,4,4,0.00,210.97,0.00,LAX
104.27.0.211,4,4,0.00,210.97,0.00,LAX
104.20.42.24,4,4,0.00,210.98,0.00,LAX
104.17.82.248,4,4,0.00,211.00,0.00,LAX
104.16.137.44,4,4,0.00,211.01,0.00,LAX
104.16.94.8,4,4,0.00,211.03,0.00,LAX
104.16.166.140,4,4,0.00,211.04,0.00,LAX
104.19.2.169,4,4,0.00,211.05,0.00,LAX
172.65.217.172,4,4,0.00,211.05,0.00,LAX
104.25.143.216,4,4,0.00,211.05,0.00,LAX
104.17.20.124,4,4,0.00,211.07,0.00,LAX
104.27.102.233,4,4,0.00,211.07,0.00,LAX
104.19.30.174,4,4,0.00,211.08,0.00,LAX
104.27.85.131,4,4,0.00,211.09,0.00,LAX
172.64.153.6,4,4,0.00,211.10,0.00,LAX
104.18.242.33,4,4,0.00,211.11,0.00,LAX
172.67.141.99,4,4,0.00,211.12,0.00,LAX
172.67.126.68,4,4,0.00,211.15,0.00,LAX
172.67.128.202,4,4,0.00,211.20,0.00,LAX
104.17.41.5,4,4,0.00,211.21,0.00,LAX
172.64.89.166,4,4,0.00,211.22,0.00,LAX
104.21.27.64,4,4,0.00,211.23,0.00,LAX
104.17.50.37,4,4,0.00,211.23,0.00,LAX
141.101.114.68,4,4,0.00,211.23,0.00,LAX
104.27.116.49,4,4,0.00,211.23,0.00,LAX
104.16.215.97,4,4,0.00,211.32,0.00,LAX
172.67.185.230,4,4,0.00,211.34,0.00,LAX
104.17.17.189,4,4,0.00,211.36,0.00,LAX
104.25.219.77,4,4,0.00,211.37,0.00,LAX
198.41.200.88,4,4,0.00,211.38,0.00,LAX
104.16.12.65,4,4,0.00,211.38,0.00,LAX
104.21.91.27,4,4,0.00,211.38,0.00,LAX
104.25.123.83,4,4,0.00,211.40,0.00,LAX
104.16.217.199,4,4,0.00,211.40,0.00,LAX
104.25.244.12,4,4,0.00,211.41,0.00,LAX
104.18.12.46,4,4,0.00,211.42,0.00,LAX
104.19.24.254,4,4,0.00,211.43,0.00,LAX
104.19.225.142,4,4,0.00,211.43,0.00,LAX
104.18.71.90,4,4,0.00,211.44,0.00,LAX
172.66.164.100,4,4,0.00,211.47,0.00,LAX
104.25.138.227,4,4,0.00,211.47,0.00,LAX
172.66.131.105,4,4,0.00,211.47,0.00,SJC
104.25.98.185,4,4,0.00,211.48,0.00,LAX
104.24.226.46,4,4,0.00,211.48,0.00,LAX
104.19.54.217,4,4,0.00,211.51,0.00,LAX
104.17.12.224,4,4,0.00,211.52,0.00,LAX
104.19.168.238,4,4,0.00,211.53,0.00,LAX
104.24.247.152,4,4,0.00,211.53,0.00,LAX
172.64.84.148,4,4,0.00,211.53,0.00,LAX
104.18.110.143,4,4,0.00,211.53,0.00,LAX
104.18.161.25,4,4,0.00,211.54,0.00,LAX
104.25.41.13,4,4,0.00,211.57,0.00,LAX
198.41.205.181,4,4,0.00,211.58,0.00,LAX
104.16.210.15,4,4,0.00,211.58,0.00,LAX
172.66.194.107,4,4,0.00,211.58,0.00,LAX
104.24.220.101,4,4,0.00,211.68,0.00,LAX
162.159.130.60,4,4,0.00,211.70,0.00,LAX
104.18.223.7,4,4,0.00,211.71,0.00,LAX
104.18.139.31,4,4,0.00,211.75,0.00,LAX
104.27.67.234,4,4,0.00,211.80,0.00,LAX
104.16.222.204,4,4,0.00,211.82,0.00,LAX
104.25.164.18,4,4,0.00,211.85,0.00,LAX
104.20.19.199,4,4,0.00,211.87,0.00,LAX
104.25.55.190,4,4,0.00,211.91,0.00,LAX
104.27.119.34,4,4,0.00,211.93,0.00,LAX
172.64.50.65,4,4,0.00,211.93,0.00,LAX
104.25.193.156,4,4,0.00,211.95,0.00,LAX
172.67.255.137,4,4,0.00,211.95,0.00,LAX
104.25.220.129,4,4,0.00,211.98,0.00,LAX
162.159.40.65,4,4,0.00,211.99,0.00,LAX
172.67.158.145,4,4,0.00,212.00,0.00,LAX
104.25.16.73,4,4,0.00,212.01,0.00,LAX
172.64.91.246,4,4,0.00,212.04,0.00,LAX
172.67.198.43,4,4,0.00,212.05,0.00,LAX
104.25.84.243,4,4,0.00,212.06,0.00,LAX
172.67.179.191,4,4,0.00,212.07,0.00,LAX
172.66.158.114,4,4,0.00,212.08,0.00,LAX
104.20.33.203,4,4,0.00,212.11,0.00,LAX
104.17.221.34,4,4,0.00,212.11,0.00,LAX
172.66.168.99,4,4,0.00,212.12,0.00,LAX
104.19.162.184,4,4,0.00,212.12,0.00,LAX
104.17.112.51,4,4,0.00,212.14,0.00,LAX
172.65.62.60,4,4,0.00,212.19,0.00,LAX
104.18.27.185,4,4,0.00,212.20,0.00,LAX
104.25.89.73,4,4,0.00,212.23,0.00,LAX
104.16.154.34,4,4,0.00,212.23,0.00,LAX
104.19.255.13,4,4,0.00,212.26,0.00,LAX
104.18.218.191,4,4,0.00,212.28,0.00,LAX
104.24.153.78,4,4,0.00,212.28,0.00,LAX
172.67.164.118,4,4,0.00,212.29,0.00,LAX
104.27.1.83,4,4,0.00,212.29,0.00,LAX
104.20.44.155,4,4,0.00,212.33,0.00,LAX
104.21.92.216,4,4,0.00,212.34,0.00,LAX
104.16.234.218,4,4,0.00,212.34,0.00,LAX
104.19.195.164,4,4,0.00,212.35,0.00,LAX
104.16.30.15,4,4,0.00,212.36,0.00,LAX
104.17.67.200,4,4,0.00,212.36,0.00,LAX
104.27.115.247,4,4,0.00,212.37,0.00,LAX
172.67.83.78,4,4,0.00,212.39,0.00,LAX
104.25.71.205,4,4,0.00,212.39,0.00,LAX
172.66.47.35,4,4,0.00,212.45,0.00,LAX
104.25.188.242,4,4,0.00,212.47,0.00,LAX
104.24.182.230,4,4,0.00,212.50,0.00,LAX
104.16.247.119,4,4,0.00,212.51,0.00,LAX
104.18.52.105,4,4,0.00,212.52,0.00,LAX
104.19.181.176,4,4,0.00,212.52,0.00,LAX
172.64.32.184,4,4,0.00,212.52,0.00,LAX
104.27.39.173,4,4,0.00,212.54,0.00,LAX
104.17.89.118,4,4,0.00,212.54,0.00,LAX
104.21.32.8,4,4,0.00,212.54,0.00,LAX
104.19.136.134,4,4,0.00,212.54,0.00,LAX
104.17.55.172,4,4,0.00,212.56,0.00,LAX
104.16.16.164,4,4,0.00,212.56,0.00,LAX
172.67.241.134,4,4,0.00,212.57,0.00,LAX
104.25.136.193,4,4,0.00,212.57,0.00,LAX
104.20.17.242,4,4,0.00,212.58,0.00,LAX
104.19.52.208,4,4,0.00,212.58,0.00,LAX
104.16.156.233,4,4,0.00,212.59,0.00,LAX
172.67.79.138,4,4,0.00,212.59,0.00,LAX
104.21.202.23,4,4,0.00,212.62,0.00,LAX
104.17.251.24,4,4,0.00,212.63,0.00,LAX
104.17.139.144,4,4,0.00,212.65,0.00,LAX
104.24.38.144,4,4,0.00,212.65,0.00,LAX
104.17.80.86,4,4,0.00,212.65,0.00,LAX
104.17.134.204,4,4,0.00,212.65,0.00,LAX
104.16.200.195,4,4,0.00,212.67,0.00,LAX
172.64.158.160,4,4,0.00,212.68,0.00,LAX
104.17.131.72,4,4,0.00,212.70,0.00,LAX
104.24.91.211,4,4,0.00,212.70,0.00,LAX
104.25.54.155,4,4,0.00,212.71,0.00,LAX
104.21.16.167,4,4,0.00,212.73,0.00,LAX
104.19.120.60,4,4,0.00,212.75,0.00,LAX
172.67.250.130,4,4,0.00,212.75,0.00,LAX
104.18.11.121,4,4,0.00,212.77,0.00,LAX
104.16.250.116,4,4,0.00,212.81,0.00,LAX
104.24.146.95,4,4,0.00,212.81,0.00,LAX
104.18.5.104,4,4,0.00,212.82,0.00,LAX
104.21.122.246,4,4,0.00,212.82,0.00,LAX
104.17.69.31,4,4,0.00,212.82,0.00,LAX
104.18.29.65,4,4,0.00,212.84,0.00,LAX
104.19.104.88,4,4,0.00,212.84,0.00,LAX
104.17.207.225,4,4,0.00,212.86,0.00,LAX
162.159.150.159,4,4,0.00,212.86,0.00,LAX
104.25.62.77,4,4,0.00,212.88,0.00,LAX
104.18.67.192,4,4,0.00,212.88,0.00,LAX
104.16.175.71,4,4,0.00,212.89,0.00,LAX
172.66.135.233,4,4,0.00,212.90,0.00,LAX
104.17.38.93,4,4,0.00,212.91,0.00,LAX
104.24.53.9,4,4,0.00,212.91,0.00,LAX
104.25.115.232,4,4,0.00,212.92,0.00,LAX
104.18.209.15,4,4,0.00,212.92,0.00,LAX
104.17.220.222,4,4,0.00,212.94,0.00,LAX
104.18.35.253,4,4,0.00,212.96,0.00,LAX
104.21.79.159,4,4,0.00,212.97,0.00,LAX
104.27.86.202,4,4,0.00,213.01,0.00,LAX
104.18.119.129,4,4,0.00,213.01,0.00,LAX
162.159.207.84,4,4,0.00,213.01,0.00,LAX
172.64.87.247,4,4,0.00,213.02,0.00,LAX
104.17.218.185,4,4,0.00,213.02,0.00,LAX
104.25.23.185,4,4,0.00,213.04,0.00,LAX
104.17.108.200,4,4,0.00,213.04,0.00,LAX
172.67.231.207,4,4,0.00,213.05,0.00,LAX
104.25.107.141,4,4,0.00,213.10,0.00,LAX
104.25.140.105,4,4,0.00,213.11,0.00,LAX
104.17.110.168,4,4,0.00,213.13,0.00,LAX
172.66.46.210,4,4,0.00,213.13,0.00,LAX
104.25.170.103,4,4,0.00,213.14,0.00,LAX
104.19.126.158,4,4,0.00,213.15,0.00,LAX
104.19.146.87,4,4,0.00,213.16,0.00,LAX
104.16.228.241,4,4,0.00,213.17,0.00,LAX
104.21.235.96,4,4,0.00,213.17,0.00,LAX
104.18.6.58,4,4,0.00,213.18,0.00,LAX
104.27.193.54,4,4,0.00,213.18,0.00,LAX
104.25.15.93,4,4,0.00,213.19,0.00,LAX
104.20.25.10,4,4,0.00,213.20,0.00,LAX
104.19.218.114,4,4,0.00,213.20,0.00,LAX
104.18.132.72,4,4,0.00,213.21,0.00,LAX
104.24.79.94,4,4,0.00,213.22,0.00,LAX
104.21.118.162,4,4,0.00,213.24,0.00,LAX
104.18.179.237,4,4,0.00,213.25,0.00,LAX
104.25.134.185,4,4,0.00,213.25,0.00,LAX
172.67.77.213,4,4,0.00,213.25,0.00,LAX
104.21.78.41,4,4,0.00,213.26,0.00,LAX
172.67.74.14,4,4,0.00,213.30,0.00,LAX
104.18.174.212,4,4,0.00,213.31,0.00,LAX
104.24.39.131,4,4,0.00,213.33,0.00,LAX
104.18.225.127,4,4,0.00,213.35,0.00,LAX
162.159.3.200,4,4,0.00,213.36,0.00,LAX
172.65.52.152,4,4,0.00,213.36,0.00,LAX
104.24.65.174,4,4,0.00,213.37,0.00,LAX
104.17.16.86,4,4,0.00,213.38,0.00,LAX
104.18.85.33,4,4,0.00,213.39,0.00,LAX
104.25.113.187,4,4,0.00,213.40,0.00,LAX
104.18.146.253,4,4,0.00,213.40,0.00,LAX
104.18.77.169,4,4,0.00,213.43,0.00,LAX
172.65.249.166,4,4,0.00,213.43,0.00,LAX
104.21.126.235,4,4,0.00,213.44,0.00,LAX
104.25.8.63,4,4,0.00,213.46,0.00,LAX
104.18.78.13,4,4,0.00,213.47,0.00,LAX
104.24.196.19,4,4,0.00,213.48,0.00,LAX
172.67.65.245,4,4,0.00,213.51,0.00,LAX
162.159.21.114,4,4,0.00,213.51,0.00,LAX
162.159.144.149,4,4,0.00,213.52,0.00,LAX
104.19.172.111,4,4,0.00,213.54,0.00,LAX
172.66.159.73,4,4,0.00,213.55,0.00,LAX
198.41.216.172,4,4,0.00,213.59,0.00,LAX
104.25.94.7,4,4,0.00,213.60,0.00,LAX
104.18.150.81,4,4,0.00,213.61,0.00,LAX
104.16.216.181,4,4,0.00,213.61,0.00,LAX
104.25.97.221,4,4,0.00,213.62,0.00,LAX
141.101.115.38,4,4,0.00,213.63,0.00,LAX
104.21.33.3,4,4,0.00,213.64,0.00,LAX
162.159.139.37,4,4,0.00,213.65,0.00,LAX
104.16.31.56,4,4,0.00,213.68,0.00,LAX
104.16.255.56,4,4,0.00,213.68,0.00,LAX
104.18.87.33,4,4,0.00,213.70,0.00,LAX
104.26.1.186,4,4,0.00,213.71,0.00,LAX
104.27.92.67,4,4,0.00,213.73,0.00,LAX
104.18.98.210,4,4,0.00,213.75,0.00,LAX
104.25.166.151,4,4,0.00,213.76,0.00,LAX
104.18.131.66,4,4,0.00,213.77,0.00,LAX
104.19.140.50,4,4,0.00,213.79,0.00,LAX
104.18.173.254,4,4,0.00,213.79,0.00,LAX
104.24.28.79,4,4,0.00,213.81,0.00,LAX
104.27.104.159,4,4,0.00,213.81,0.00,LAX
104.25.255.6,4,4,0.00,213.82,0.00,LAX
104.16.21.181,4,4,0.00,213.82,0.00,LAX
104.18.108.151,4,4,0.00,213.83,0.00,LAX
172.67.195.87,4,4,0.00,213.85,0.00,LAX
162.159.20.152,4,4,0.00,213.87,0.00,LAX
162.159.32.146,4,4,0.00,213.87,0.00,LAX
104.16.248.127,4,4,0.00,213.88,0.00,LAX
172.64.48.72,4,4,0.00,213.88,0.00,LAX
104.24.2.245,4,4,0.00,213.90,0.00,LAX
172.67.191.114,4,4,0.00,213.92,0.00,LAX
104.17.164.167,4,4,0.00,213.92,0.00,LAX
104.24.253.96,4,4,0.00,213.94,0.00,LAX
104.21.103.183,4,4,0.00,213.94,0.00,LAX
104.19.116.57,4,4,0.00,213.94,0.00,LAX
104.17.121.165,4,4,0.00,213.96,0.00,LAX
172.64.230.252,4,4,0.00,213.97,0.00,LAX
104.17.187.212,4,4,0.00,213.97,0.00,LAX
104.25.152.4,4,4,0.00,213.98,0.00,LAX
104.21.194.48,4,4,0.00,213.98,0.00,LAX
104.24.63.180,4,4,0.00,214.02,0.00,LAX
104.25.233.155,4,4,0.00,214.03,0.00,LAX
104.18.163.124,4,4,0.00,214.05,0.00,LAX
172.64.229.107,4,4,0.00,214.06,0.00,LAX
104.20.56.157,4,4,0.00,214.08,0.00,LAX
104.20.26.140,4,4,0.00,214.09,0.00,LAX
162.159.253.188,4,4,0.00,214.09,0.00,LAX
104.16.91.13,4,4,0.00,214.10,0.00,LAX
104.18.96.95,4,4,0.00,214.10,0.00,LAX
104.19.5.198,4,4,0.00,214.10,0.00,LAX
104.21.236.104,4,4,0.00,214.10,0.00,LAX
104.24.44.207,4,4,0.00,214.11,0.00,LAX
104.27.108.239,4,4,0.00,214.13,0.00,LAX
104.24.35.155,4,4,0.00,214.13,0.00,LAX
172.67.135.170,4,4,0.00,214.14,0.00,LAX
172.65.63.130,4,4,0.00,214.14,0.00,LAX
141.101.120.73,4,4,0.00,214.14,0.00,LAX
172.64.146.69,4,4,0.00,214.15,0.00,LAX
162.159.138.50,4,4,0.00,214.16,0.00,LAX
104.19.14.44,4,4,0.00,214.16,0.00,LAX
104.27.5.1,4,4,0.00,214.17,0.00,LAX
104.17.228.18,4,4,0.00,214.18,0.00,LAX
104.18.215.111,4,4,0.00,214.18,0.00,LAX
172.67.197.231,4,4,0.00,214.19,0.00,LAX
104.20.60.154,4,4,0.00,214.20,0.00,LAX
104.24.83.219,4,4,0.00,214.23,0.00,LAX
104.16.142.230,4,4,0.00,214.23,0.00,LAX
108.162.192.250,4,4,0.00,214.25,0.00,LAX
